Date,Open,High,Low,Close,Volume,Adj Close,Entrevistado
2018-03-03,10000,10000,10000,10000,1000000,10000,HOY
2018-03-02,10000,10000,10000,10000,1000000,10000,Nano Stern
2018-03-29,10000,10000,10000,10000,1000000,10000,Jorge Montealegre
2018-03-28,10000,10000,10000,10000,1000000,10000,
2018-03-27,10000,10000,10000,10000,1000000,10000,Miguel Bonfoit
2018-03-26,10000,10000,10000,10000,1000000,10000,Carlos Basso
2018-03-23,10000,10000,10000,10000,1000000,10000,Rodolfo Andaur
2018-03-22,10000,10000,10000,10000,1000000,10000,S/I
2018-03-21,10000,10000,10000,10000,1000000,10000,Jorge Baradit
2018-03-20,10000,10000,10000,10000,1000000,10000,Francisco Casas
2018-03-19,10000,10000,10000,10000,1000000,10000,Felipe Toro y Claudio Valenzuela
2018-03-16,10000,10000,10000,10000,1000000,10000,Oscar Ríos y Hernán Garfias
2018-03-15,10000,10000,10000,10000,1000000,10000,Lanza Internacional
2018-03-14,10000,10000,10000,10000,1000000,10000,---
2018-03-13,10000,10000,10000,10000,1000000,10000,---
2018-03-12,10000,10000,10000,10000,1000000,10000,Paul Andwanter
2018-03-09,10000,10000,10000,10000,1000000,10000,Gloria Münchmayer
2018-03-08,10000,10000,10000,10000,1000000,10000,Arturo Duclos y Crisian Johnson
2018-03-07,10000,10000,10000,10000,1000000,10000,Coté Carvajal y Luis Insunza
2018-03-06,10000,10000,10000,10000,1000000,10000,Justo Pastor Mellado
2018-03-05,10000,10000,10000,10000,1000000,10000,Daniel Jadue
